id,item_name,uses_ammo,damage,knockback,consumable,critical_chance,use_time,velocity,tooltip,max_stack,rarity,buy,sell,research
1,Copper_Shortsword,,5 ,4.0,0,0.04,13 ,4.2,,1,White,-1,70,1
2,Tin_Shortsword,,7 ,4.0,0,0.04,12 ,4.2,,1,White,-1,1,1
3,Wooden_Sword,,7 ,4.0,0,0.04,25 ,0.0,,1,White,-1,20,1
4,Boreal_Wood_Sword,,8 ,5.0,0,0.04,23 ,0.0,,1,White,-1,20,1
5,Copper_Broadsword,,8 ,5.0,0,0.04,23 ,0.0,,1,White,-1,90,1
6,Iron_Shortsword,,8 ,4.0,0,0.04,12 ,4.2,,1,White,-1,2,1
7,Palm_Wood_Sword,,8 ,5.0,0,0.04,23 ,0.0,,1,White,-1,20,1
8,Rich_Mahogany_Sword,,8 ,5.0,0,0.04,23 ,0.0,,1,White,-1,20,1
9,Cactus_Sword,,8 ,4.5,0,0.04,32 ,0.0,,1,White,-1,3,1
10,Lead_Shortsword,,9 ,4.0,0,0.04,12 ,4.2,,1,White,-1,4,1
11,Silver_Shortsword,,9 ,4.0,0,0.04,12 ,4.2,,1,White,-1,7,1
12,Tin_Broadsword,,9 ,5.0,0,0.04,22 ,0.0,,1,White,-1,1,1
13,Ebonwood_Sword,,10 ,5.0,0,0.04,21 ,0.0,,1,White,-1,20,1
14,Iron_Broadsword,,10 ,5.0,0,0.04,21 ,0.0,,1,White,-1,3,1
15,Shadewood_Sword,,10 ,5.0,0,0.04,21 ,0.0,,1,White,-1,20,1
16,Tungsten_Shortsword,,10 ,4.0,0,0.04,11 ,4.2,,1,White,-1,10,1
17,Gold_Shortsword,,12 ,5.0,0,0.04,11 ,4.2,,1,White,-1,14,1
18,Lead_Broadsword,,11 ,5.0,0,0.04,21 ,0.0,,1,White,-1,5,1
19,Silver_Broadsword,,11 ,5.0,0,0.04,21 ,0.0,,1,White,-1,9,1
20,Bladed_Glove,,12 ,4.0,0,0.04,8 ,0.0,,1,Green,-1,1,1,True
21,Tungsten_Broadsword,,12 ,5.0,0,0.04,20 ,0.0,,1,White,-1,13,1
22,Zombie_Arm,,12 ,4.25,0,0.04,23 ,0.0,,1,White,-1,4,1
23,Gold_Broadsword,,13 ,5.0,0,0.04,20 ,0.0,,1,White,-1,18,1
24,Platinum_Shortsword,,13 ,5.0,0,0.04,10 ,4.2,,1,White,-1,21,1
25,Mandible_Blade,,14 ,4.5,0,0.04,18 ,0.0,,1,Green,-1,10,1,True
26,Stylish_Scissors,,14 ,5.0,0,0.04,12 ,0.0,,1,Green,-1,50,1
27,Ruler,,12 ,0.5,0,0.04,20 ,4.8,,1,Blue,10,2,1,True
28,Platinum_Broadsword,,15 ,5.0,0,0.04,19 ,0.0,,1,White,-1,27,1
29,Umbrella,,10 ,5.0,0,0.04,22 ,0.0,You will fall slower while holding this,1,Blue,-1,20,1
30,Breathing_Reed,,10 ,4.0,0,0.04,27 ,0.0,Increases breath time and allows breathing in water,1,Blue,-1,20,1
31,Gladius,,15 ,0.5,0,0.04,21 ,4.8,'Are you not entertained?!',1,Blue,-1,30,1
32,Bone_Sword,,16 ,4.5,0,0.04,22 ,0.0,,1,Orange,-1,18,1
33,Candy_Cane_Sword,,16 ,5.3,0,0.04,27 ,0.0,,1,Blue,-1,27,1
34,Katana,,16 ,3.5,0,0.19,22 ,0.0,,1,Blue,10,2,1,True
35,Ice_Blade,,17 ,4.75,0,0.06,20 ,9.5,Shoots an icy bolt,1,Blue,-1,40,1,True
36,Light%27s_Bane,,18 ,5.0,0,0.04,20 ,0.0,,1,Blue,-1,27,1
37,Tragic_Umbrella,,15 ,5.0,0,0.04,22 ,0.0,You will fall slower while holding this,1,Green,10,2,1
38,Muramasa,,26 ,3.0,0,0.04,18 ,0.0,,1,Green,-1,1,1,True
39,Exotic_Scimitar,,20 ,4.25,0,0.04,18 ,0.0,,1,Green,-1,50,1
40,Phaseblade,,25 ,3.0,0,0.04,25 ,0.0,,1,Blue,-1,54,1
41,Blood_Butcherer,,22 ,5.0,0,0.04,25 ,0.0,,1,Blue,-1,27,1
42,Starfury,,22 ,5.0,0,0.04,20 ,20,Causes stars to rain from the sky,1,Green,-1,1,1
43,Enchanted_Sword_(item),,23 ,4.25,0,0.04,21 ,9.5,Shoots an enchanted sword beam,1,Green,-1,3,1,True
44,Purple_Clubberfish,,24 ,7.0,0,0.04,35 ,0.0,,1,Blue,-1,1,1,True
45,Bee_Keeper,,26 ,5.3,0,0.04,20 ,0.0,Summons killer bees after striking your foe,1,Orange,-1,2,1,True
46,Falcon_Blade,,25 ,6.0,0,0.04,20 ,0.0,,1,Light Red,-1,20,1,True
47,Blade_of_Grass,,28 ,3.0,0,0.04,30 ,0.0,Has a chance to poison enemies,1,Orange,-1,54,1
48,Fiery_Greatsword,,40 ,6.5,0,0.04,30 ,0.0,'It's made out of fire!',1,Orange,-1,54,1
49,Night%27s_Edge,,42 ,4.5,0,0.04,21 ,0.0,,1,Orange,-1,4,1,True
